devId,_month,BMS_PCB_board_surface_temperature,Battery_control,Battery_status,Cell_series_numbe_23_series,Internal_temperature_of_battery,Location_type,Mileage,Number_of_cycles,SOC,Speed_information,Surface_temperature_in_the_middle_of_cells,Total_charged_capacity,Total_current,Total_discharged_capacity,Total_voltage,alarmDesc,alarmFlag,times_100_of_battery_capacity,Maximum_Charge_Current,Nominal_Capacity,Total_charge_protect_voltage,total_cell_voltage
BGU9087,9,32.98385416666667,0.0,0.0,24.0,20.94449179629235,5.0,6625.538074787892,4371.252742230347,57.45434021019853,2.595197027995224,105562995037.90132,4231.136890243903,612.6960634726885,4232.715853658537,7043.090285191399,0.0,0.0,1669.047846889952,92.60336485247146,81.80487920641701,8227.179044094586,3656643806.6019545
BGU9088,8,28.3125,4.0,0.0,24.0,26.15625,5.0,9700.0,157.0,100.0,0.0,27.0,4396.0,0.0,4423.0,8005.375,0.0,0.0,2796.0,40.0,28.0,8328.0,2299.8775894538608
BGU9088,9,33.032519280205655,0.0,0.0,24.0,20.708839670717367,1.0,8575.605464644948,4184.231868600683,56.51546701974001,8.02849533954727,109561024734.45418,4239.93131483039,602.3660525520991,4240.348301992703,7051.081003475895,0.0,0.0,1617.609102646869,89.76276012163854,77.95454342087602,8230.290046874768,3826979096.571313
BGU9089,8,25.85,4.0,0.0,24.0,23.0,5.0,7554.0,125.0,10.891304347826088,0.0,24.0,3650.1,0.0,3628.0,7716.05,0.0,0.0,304.0,40.0,29.0,8328.0,2362.112244897959
BGU9089,9,29.4295550172128,0.0,0.0,24.0,16.99513259483048,5.0,5942.15065522768,4455.786693191865,41.8742033603708,3.758332351902014,118502651991.4471,3580.910332541568,656.1307356702272,3578.5081772227177,6935.572869617585,0.0,0.0,1177.0781304499476,82.1309082225583,71.30770333556342,8219.799747614165,4432744594.942798
BGU9090,8,25.133333333333333,4.0,0.0,24.0,23.633333333333333,5.0,8801.0,146.0,11.614285714285714,0.0,24.03333333333333,4259.0,0.0,3964.571428571429,7755.0,0.0,0.0,333.8125,40.0,29.0,8328.0,1846.513392857143
BGU9090,9,32.35535337552743,0.0,0.0,24.0,17.77809410834322,5.0,7155.166740852845,4508.116953960288,62.0140704945992,6.473922152387253,131560848300.53688,3999.597345132743,691.7735136835482,4004.9061946902657,6967.413662836455,0.0,0.0,1880.8713471133285,97.31905517068692,86.513092415083,8211.287301036347,4895510408.471093
BGU9091,8,29.8,4.0,0.0,24.0,27.914285714285715,5.0,7193.0,117.0,13.0,0.0,27.285714285714285,3418.0,0.0,3396.0,7770.685714285714,0.0,0.0,383.4,40.0,29.0,8328.0,2158.6194444444445
BGU9091,9,33.60797342192691,0.0,0.0,24.0,20.80575252172176,1.0,6310.984526558891,4213.427258805513,61.2923490589098,7.2065753424657535,108159286866.33772,3519.6599941978534,599.4289568345324,3524.2833914053426,7073.172418967587,0.0,0.0,1864.3831960461284,81.37900052669083,70.54205477116687,8226.809697938113,3635496202.693191
BGU9092,8,25.61764705882353,4.0,0.0,24.0,24.205882352941178,5.0,6714.0,118.0,81.0,0.0,24.647058823529413,3427.0,0.0,3444.0,7994.176470588235,0.0,0.0,2268.0,40.0,29.0,8328.0,2660.4642262895177
BGU9092,9,32.7165782321729,0.0,0.0,24.0,20.545289682160924,1.0,5818.351970901708,4289.440637793579,67.98314381270903,7.00792670372658,114636253572.9684,3598.939568345324,634.9238532110091,3605.785200115174,7047.018206854345,0.0,0.0,2065.7308467741937,83.28182744299036,72.47903665840886,8222.783692240762,4233251441.850961
BGU9093,8,24.875,4.0,0.0,24.0,23.375,5.0,8527.0,159.0,100.0,0.0,23.58333333333333,4611.0,0.0,4640.0,8043.958333333333,0.0,0.0,2911.846153846154,40.0,29.0,8328.0,2803.335120643432
BGU9093,9,31.862472377486025,0.0,0.0,24.0,19.483429528951778,5.0,6872.188994768311,4491.091008055737,63.7442577236369,5.142354183781246,124251305905.8046,4247.033783783784,668.8944925742575,4254.495580436063,6977.52871961604,0.0,0.0,1902.7297962052005,101.37246501930252,90.56773625800564,8213.982527185311,4372065038.8417015
BGU9094,8,26.41379310344828,4.0,2.0,24.0,25.344827586206897,5.0,5615.0,93.0,31.0,0.0,24.41379310344828,2717.0,0.0,2705.0,7899.172413793103,0.0,0.0,867.3333333333334,40.0,29.0,8328.0,2123.4178321678323
BGU9094,9,32.06867007672634,0.0,0.0,100.0,21.471965317919075,1.0,5201.762008882815,4203.735356089338,60.02902211743572,7.783270571268328,98761752896.76492,3088.6002230275994,617.0969202898551,3092.151117318436,7030.76462585034,0.0,0.0,1742.4847797927462,72.49206566347469,61.85874623597044,8226.823064866168,3403813107.8266954
BGU9095,8,38.535714285714285,4.0,0.0,24.0,38.642857142857146,5.0,8591.0,159.0,90.08474576271186,0.0,39.75,4612.615384615385,543.5357142857143,4637.692307692308,8209.92857142857,0.0,0.0,2657.833333333333,40.0,29.0,8328.0,2709.459706959707
BGU9095,9,32.425864276568504,0.0,0.0,24.0,19.265196662693683,5.0,6900.426161530488,4434.103050108933,60.33606082548878,3.5,130751104723.49307,4237.017924255565,666.3790201382627,4240.172353961828,7002.706297910717,0.0,0.0,1792.9391304347826,101.2720907458789,90.5658485605578,8213.051576394502,4520657491.342831
BGU9097,8,39.729729729729726,4.0,0.0,24.0,33.972972972972975,5.0,5504.113636363636,92.0,100.0,0.0,36.648648648648646,2668.0,7.513513513513513,2697.0,8261.216216216217,0.0,0.0,2927.909090909091,40.0,29.0,8328.0,3020.529900332226
BGU9097,9,29.307376523412444,0.0,0.0,100.0,16.70847273010192,1.0,5034.930003567606,4291.971842824123,59.234527909755954,7.327372416701814,119767840947.40517,3072.4470522492315,655.2805656934306,3076.3915477190035,7002.920876445526,0.0,0.0,1787.2938041305797,73.77365511538521,63.00416666666667,8221.254582422918,4234674513.873378
BGU9098,8,26.742857142857144,4.0,0.0,24.0,25.742857142857144,5.0,8660.527272727273,145.0,10.922222222222222,3.0727272727272728,26.37142857142857,4230.6,-52.57142857142857,4208.066666666667,7744.514285714285,11.0,0.0,325.65,40.0,29.0,8328.0,2330.7801204819275
BGU9098,9,30.59728144989339,0.0,0.0,24.0,19.82861026874412,5.0,7176.094021839719,4212.664517614552,57.282224273844186,5.801331227436823,102464733147.9798,4022.631402439024,593.2869171994387,4023.80751604033,7078.4690818238605,0.0,0.0,1686.2841379310346,87.50237605853819,76.63276854745847,8226.517087885211,3735186782.164616
BGU9099,8,26.23333333333333,4.0,2.0,24.0,24.0,5.0,458.0,11.0,100.0,0.0,24.166666666666668,319.0,0.0,347.0,7995.133333333333,0.0,0.0,2888.4,40.0,29.0,8328.0,2389.137450199203
BGU9099,9,32.82248743718593,0.0,0.0,24.0,18.80732484076433,1.0,826.2758620689655,4332.967506769423,62.73809120189863,7.527034672270266,126303213757.95288,1647.0768585802125,650.4290404417251,1654.245942921097,6993.460149253731,0.0,0.0,1890.82463672391,50.38513310045772,39.56110383056924,8220.17928976425,4721251965.493789
BGU9100,8,39.84375,4.0,1.0,24.0,36.90625,5.0,9855.0,167.0,88.82089552238806,0.0,36.9375,4845.909090909091,533.84375,4868.181818181818,8202.96875,0.0,0.0,2502.5882352941176,40.0,29.0,8328.0,2909.319415448852
BGU9100,9,33.61743280582768,0.0,0.0,24.0,19.176717321047928,1.0,8230.784015375992,4416.803061646669,63.42926766705143,7.239587388088751,128558000328.53984,4420.631286468463,654.1213026590978,4425.066407335371,7015.537518684604,0.0,0.0,1879.383388704319,102.85537636936388,92.14842806742452,8217.292506018483,5028798989.287507
BGU9101,8,34.611111111111114,0.0,0.0,24.0,33.69444444444444,1.0,1138.9184782608695,21.0,44.4,15.875,33.44444444444444,626.1111111111111,-374.44444444444446,619.5185185185185,7836.222222222223,0.0,0.0,1107.5,40.0,29.0,8328.0,2121.200607902736
BGU9101,9,34.42276114689908,0.0,0.0,24.0,20.022377193654687,1.0,1455.0074321813452,4248.215797192542,64.91021263851452,8.009182412149038,123289127390.19266,1825.3581175160125,639.056657223796,1831.0351857023177,7062.305820895523,0.0,0.0,1987.9491744901263,54.04267369313708,43.31261647550794,8223.517978590839,4495254694.605604
BGU9102,8,30.63888888888889,4.0,0.0,24.0,29.22222222222222,5.0,1776.0,43.0,100.0,0.0,29.80555555555556,1247.0,0.0,1275.0,7795.361111111111,0.0,0.0,2877.3571428571427,40.0,29.0,8128.0,1944.9705372616984
BGU9102,9,32.157061094103554,0.0,0.0,24.0,19.679463842462354,1.0,1824.891665336101,4092.290409121395,67.4040557667934,6.53145069890442,115128786617.80724,2118.4036020076765,596.1521739130435,2124.90573286052,7066.383158553765,0.0,0.0,2049.195480999658,57.29700233748184,46.486427126785486,8033.575316495362,4417835131.494108
BGU9103,8,26.5,4.0,0.0,24.0,24.84210526315789,5.0,5910.0,98.0,100.0,0.0,24.605263157894736,2842.0,0.0,2870.0,7802.0526315789475,0.0,0.0,2840.5789473684213,40.0,29.0,8328.0,2321.782874617737
BGU9103,9,31.707613814756677,0.0,0.0,24.0,19.34027582324796,1.0,5210.231227283272,4291.837442723107,66.43776338134474,8.334200985404852,102573662415.70674,3150.8794014084506,621.1577149953431,3160.257193188491,6996.164130434782,0.0,0.0,2030.2836952774903,73.71110901130744,62.786050761741215,8220.426231042877,3577508345.908076
BGU9104,8,25.794117647058822,4.0,0.0,24.0,24.0,5.0,6701.0,115.0,25.0,0.0,23.58823529411765,3356.0,0.0,3342.0,7891.764705882353,0.0,0.0,706.625,40.0,29.0,8328.0,1839.0222531293464
BGU9104,9,33.991897708570704,0.0,0.0,24.0,20.80520304568528,1.0,5792.097502972652,4330.54619159377,56.90095947481379,6.2851689253674365,117534317532.53204,3480.3268792710705,648.96829669508,3485.129951553149,7006.036040077763,0.0,0.0,1710.996689837802,82.42203222421138,71.64227152716661,8222.734663280604,3908257763.130244
BGU9105,8,25.096774193548388,4.0,0.0,24.0,23.93548387096774,5.0,6283.0,111.0,82.0,0.0,24.032258064516128,3224.0,0.0,3241.0,7997.645161290323,0.0,0.0,2287.3125,40.0,29.0,8328.0,2183.7542662116043
BGU9105,9,32.78438708068337,0.0,0.0,24.0,20.089827121883417,1.0,5728.474358082249,4132.397748592871,65.17128929231804,7.027757427757428,106732024809.532,3454.521822149481,585.6667152009319,3459.781113537118,7086.682301529498,0.0,0.0,1945.2696875,77.94421705934008,67.16644331278478,8228.463206976436,3621938522.449961
BGU9106,8,37.32258064516129,4.0,0.0,24.0,36.64516129032258,1.0,7770.280898876404,124.0,96.36666666666666,9.764044943820224,36.87096774193548,3596.6153846153848,182.93548387096772,3623.153846153846,8079.709677419355,0.0,0.0,2671.4736842105262,40.0,29.0,8328.0,2786.708117443869
BGU9106,9,33.11892425363928,0.0,0.0,24.0,20.55765285186705,1.0,7016.676969780599,4129.986002470152,61.88877142221233,8.218280265071925,110697204194.65411,3698.3258639308856,593.3786828422877,3704.3524324324326,7078.726918075423,0.0,0.0,1842.3887515451172,83.433326907964,72.61074432888744,8225.801729081206,4021100265.2479935
BGU9107,8,25.34375,4.0,0.0,24.0,24.0625,5.0,3422.0,64.0,42.0,0.0,23.9375,1872.0,0.0,1867.0,7901.5,0.0,0.0,1182.5,39.9245283018868,29.0,8310.642105263158,2121.3137583892617
BGU9107,9,31.413329986193045,0.0,0.0,24.0,18.622560470198177,1.0,3230.966380599953,4227.1437263953,69.95619937694704,6.615536909588008,126132931777.1312,2606.42762063228,629.9464522790972,2616.3639644641867,7039.568919716647,0.0,0.0,2166.0162760416665,65.73514799628887,54.94003952450819,8224.260505074486,4703645674.121207
BGU9108,8,29.62962962962963,4.0,0.0,24.0,30.77777777777778,5.0,9372.9,150.0,18.11688311688312,0.08,30.33333333333333,4373.0,-82.48148148148148,4355.0,7788.851851851852,0.0,0.0,505.0,40.0,29.0,8328.0,2003.4761029411768
BGU9108,9,31.990157728706624,0.0,0.0,24.0,20.52889079965606,1.0,8152.983532820004,4117.4394560759765,66.61187571368471,8.075045045045044,108262291318.17212,4131.984693877551,590.2584633500147,4138.36291465835,7117.043740795287,0.0,0.0,2058.4123057405645,88.65328323384139,77.82239973322824,8230.970854815194,4073408519.033752
